goos: linux
goarch: amd64
pkg: github.com/google/cel-go/cel
cpu: Intel(R) Core(TM) Ultra 5 125H
BenchmarkJit_Jit/rule028-18         	12680089	        11.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule029-18         	13314446	         9.897 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule029-18         	14142632	        10.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule029-18         	10235491	        10.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule029-18         	13468200	         9.603 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule029-18         	11462458	         9.097 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule029-18         	12993265	         9.014 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule029-18         	11568312	        10.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule029-18         	13420488	         9.036 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule030-18         	11972178	         9.417 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule030-18         	12503839	        11.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule030-18         	10894461	        10.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule030-18         	13427598	        10.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule030-18         	11650876	        10.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule030-18         	11860887	        10.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule030-18         	12643621	        10.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule030-18         	11776191	        10.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule031-18         	10235446	        10.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule031-18         	11854369	         9.153 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule031-18         	13427018	        10.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule031-18         	12108265	         9.211 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule031-18         	13745408	         8.881 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule031-18         	11096556	        10.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule031-18         	11582923	         8.805 ns/op	       0 B/op	       0 allocs/op
