goos: linux
goarch: amd64
pkg: github.com/google/cel-go/cel
cpu: Intel(R) Core(TM) Ultra 5 125H
BenchmarkJit_Interpreter/rule030-18         	 1675468	        68.29 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule030-18         	 1707940	        66.42 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule030-18         	 1648896	        70.55 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule030-18         	 1516536	        66.14 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule030-18         	 1660466	        79.14 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule030-18         	 1784725	        69.52 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule031-18         	 1668500	        69.28 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule031-18         	 1613469	        81.39 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule031-18         	 1707531	        69.64 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule031-18         	 1707631	        67.66 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule031-18         	 1649029	        71.29 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule031-18         	 1528502	        71.69 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule031-18         	 1709372	        67.14 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule031-18         	 1693634	        69.67 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule032-18         	 1708551	        73.71 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule032-18         	 1640350	        71.97 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule032-18         	 1653868	        67.14 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule032-18         	 1560726	        68.74 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule032-18         	 1684580	        66.82 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule032-18         	 1685125	        67.39 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule032-18         	 1794910	        68.70 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule032-18         	 1674930	        70.98 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule033-18         	 1572975	        68.27 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule033-18         	 1692850	        68.05 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule033-18         	 1615467	        69.94 ns/op	      16 B/op	       1 allocs/op
